"Region","State","Project Name","Delivery Track","BTS / Customer","Site id","Site Name","Loading date from wi team","Permission Required Date","Complete date","TAT","Aging","WI TAT","TAT Remarks","Pending/YTS","Remarks","Another Remarks if Required","Work Order Status","Work Order (WO) Remarks"
"East","West Bengal","Zero customer sector dismantling","BTS Dismantle","BTS","WEBQBH0483","KARIMPUR","45660.0","45660.0","45671.0","11","593","7.0","Outside TAT","Fully Completed","67","","","NIL"
"East","Bihar","Zero customer sector dismantling","BTS Dismantle","BTS","BIHKAT1119","UW_BIHAR_0800_MIRCHAI","45668.0","45668.0","45676.0","8","585","7.0","Outside TAT","Fully Completed","67","","","NIL"
"East","Bihar","Zero customer sector dismantling","BTS Dismantle","BTS","BIHPAT0288","Bhakhtiarpur","45668.0","45668.0","45675.0","7","585","7.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Zero customer sector dismantling","BTS Dismantle","BTS","IN-2035228","BALUGAON","45684.0","45684.0","45685.0","1","569","7.0","In TAT","Fully Completed","67","","","NIL"
"East","Bihar","Zero customer sector dismantling","BTS Dismantle","BTS","BIHQGA0116","New Dhiliya","45668.0","45668.0","45674.0","6","585","7.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","Zero customer sector dismantling","BTS Dismantle","BTS","IN-1038001","BAGNAN2","45684.0","45685.0","45689.0","4","568","7.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","Zero customer sector dismantling","BTS Dismantle","BTS","WEBQBH0483","KARIMPUR","45660.0","45660.0","45671.0","11","593","7.0","Outside TAT","Fully Completed","67","","","NIL"
"East","Bihar","Zero customer sector dismantling","BTS Dismantle","BTS","BIHKAT1119","UW_BIHAR_0800_MIRCHAI","45668.0","45668.0","45676.0","8","585","7.0","Outside TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","BTS Survey","BTS","INOD001230","NAKHARA","45632.0","45632.0","45633.0","1","621","3.0","In TAT","Fully Completed","67"
"East","Bihar","Zero customer sector dismantling","BTS Dismantle","BTS","BIHPAT0288","Bhakhtiarpur","45668.0","45668.0","45675.0","7","585","7.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BH Augmentation - BAU-UBR BH FY25","UBR BH Dismantle","UBR BH","WEBBUR0936","Katwa","45666.0","45666.0","45667.0","1","587","7.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","Emergency Relocation","BTS Dismantle","BTS","IN-1037083","MEDIA CHOUMATHA","45652.0","45712.0","45713.0","1","541","7.0","In TAT","Fully Completed","Access issue","67","","NIL"
"East","Assam","CX4 to Conventional BH FY 25 Project","PMP Customer Installation","Customer","091DARR623037547145","TCS PASSPORT SEVA PROJECT","45656.0","45656.0","45659.0","3","597","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Assam","PTP to PMP Phase-II Extn. Customer Migration","PMP Customer Installation","Customer","091GUWA6230A0060724","Hyundai Motor India Limited","45657.0","45657.0","45660.0","3","596","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Zero customer sector dismantling","BTS Dismantle","BTS","IN-2035228","BALUGAON","45684.0","45684.0","45685.0","1","569","7.0","In TAT","Fully Completed","67","","","NIL"
