"Track","Sub track type","Physical Installation & Commissioning for SI Partner"
"Implementation at BS end","BTS Installation","5.0"
"Implementation at BS end","UBR BH Installation","5.0"
"Implementation at BS end","Switch Installation","5.0"
"Implementation at BS end","WAN Aggr. Implementation","5.0"
"Priority Site & Emergency Relocation Site","P Customer Survey ","2.0"
"Priority Site & Emergency Relocation Site","P. BTS Survey ","2.0"
"Priority Site & Emergency Relocation Site","P. Customer Installation","3.0"
"Priority Site & Emergency Relocation Site","P.BTS Installation","3.0"
"Implementation at Customer end","P2P Customer Installation","5.0"
"Implementation at Customer end","PMP Customer Installation","5.0"
"Dismantle activity at BS & Customer End","BTS Dismantle","7.0"
"Dismantle activity at BS & Customer End","UBR BH Dismantle","7.0"
"Dismantle activity at BS & Customer End","Customer P2P Dismantling","7.0"
"Dismantle activity at BS & Customer End","Customer PMP Dismantling","7.0"
"Dismantle activity at BS & Customer End","Dismantle - WAN","7.0"
"Survey activity for all scenerio","BTS Survey","3.0"
"Survey activity for all scenerio","UBR BH Survey","3.0"
"Survey activity for all scenerio","UBR BH Survey with Device","3.0"
"Survey activity for all scenerio","Customer Survey","3.0"
"Survey activity for all scenerio","Customer Survey with Device","3.0"
"Survey activity for all scenerio","WAN Survey","3.0"













































































