,,,,,,
,,,,,,
,,,,Delivery Track,AVERAGE of TAT,Count of BTS/Customer
Delivery Track,Average of Survey TAT,Count of BTS/Customer Name,,BTS Dismantle,6.888888889,81
BTS Survey,1.956521739,46,,BTS Installation,8.775862069,58
Customer Survey,1.378378378,37,,PE Activity,1.5,16
UBR BH Survey,2.391304348,23,,PMP Customer Installation,4.4375,32
WAN survey,1,2,,Switch Installation,1,1
Grand Total,1.833333333,108,,UBR BH Dismantle,4.4,10
,,,,UBR BH Installation,13.125,16
,,,,Grand Total,6.953271028,214
,,,,,,
,,,,,,
TAT Remarks,Count of Survey TAT Remarks,,,,,
In TAT,251,,,,,
Outside TAT,100,,,,,
Grand Total,351,,,,,
